isbn,bookid,bookname,author,publish,releaseDate
0898,B_1951_000038,苏联的社会主义工业化,[苏]卡希莫甫斯基　著,人民出版社,-599644800000
1171,B_1951_000109,苏联共产党是怎样建设的,中苏友好协会总会　编,人民出版社,-599644800000
1131,B_1951_000110,苏联共产党是苏维埃社会底领导与指导力量,中苏友好协会总会　编,人民出版社,-586598400000
1067,B_1951_000112,非党积极分子是党组织的支柱,威·阿·贝格玛 著,人民出版社,-544435200000
0818,B_1951_000113,法国共产党为和平与民主而斗争,人民出版社　编辑,人民出版社,-578649600000
0796,B_1951_000138,社会主义的劳动与劳动纪律,Н·Г·阿列克桑德洛夫等　著,新华书店,-604915200000
1089,B_1951_000151,苏联的伟大卫国战争,,人民出版社,-586598400000
1019,B_1951_000171,苏联国民经济计划,[苏]库斯基　著,人民出版社,-591868800000
1057,B_1951_000195,苏联的爱国主义教育及其经验,开洛夫　等著,人民出版社,-589276800000
0915,B_1951_000240,保加利亚人民共和国（人民民主国家介绍）,人民出版社编辑部　辑,人民出版社,-599644800000
0031,B_1951_000250,政治经济学,列昂节夫　著,人民出版社,-591868800000
1152,B_1951_000272,苏联国家法概论,列文　著,人民出版社,-578649600000
0948,B_1951_000274,论人民民主国家劳动法,[苏]巴歇尔斯德尼克　著,人民出版社,-594547200000
1176,B_1951_000285,斯大林关于语言学问题的著作对于社会科学发展的意义,[苏]波·弗·尤金　著,人民出版社,-570787200000
1005,B_1951_000287,苏联律师章程·苏俄国家公证章程,中央人民政府法制委员会　编,人民出版社,-591868800000
1028,B_1951_000290,苏俄民事诉讼法典,中央人民政府法制委员会　编,人民出版社,-584006400000
1012,B_1951_000295,苏联民事诉讼法概论,克林曼　著,人民出版社,-589276800000
0970,B_1951_000302,新五年计划中的劳动生产率与减低成本,Ш·杜烈茨基　著,人民出版社,-591868800000
0799,B_1951_000345,苏维埃人民法院,高尔塞宁　著,人民出版社,-589276800000
1161,B_1951_000349,意大利共产党为和平与民主而斗争,,人民出版社,-581328000000
0047,B_1951_000434,英国走向社会主义的道路,施芝禅　辑译,世界知识社,-581328000000
1219,B_1952_000028,列宁斯大林党是苏维埃社会领导的和指导的力量,[苏]格列则尔曼 著,人民出版社,-539164800000
1052,B_1952_000031,社会主义社会发展的动力,[苏]康士坦丁诺夫　著,人民出版社,-549705600000
1061,B_1952_000032,斯大林发展了马克思列宁主义的民族问题理论,卡马里　著,人民出版社,-549705600000
1059,B_1952_000039,日本共产党的三十周年,人民出版社　编辑,人民出版社,-552384000000
1077,B_1952_000042,当作科学看的历史唯物论,[苏]康士坦丁诺夫　著,人民出版社,-568108800000
1180,B_1952_000049,马克思列宁主义的阶级和阶级斗争理论,[苏]格列则尔曼 著,人民出版社,-560246400000
1081,B_1952_000175,匈牙利人民共和国白皮书,匈牙利人民共和国外交部情报司　编,人民出版社,-549705600000
0857,B_1952_000232,伟大十月社会主义革命三十四周年,贝利亚　著,人民出版社,-565430400000
1215,B_1952_000246,社会主义社会的生产力与生产关系（“历史唯物论”第五章）,康士坦丁诺夫　著,人民出版社,-541756800000
1381,B_1953_000007,论苏联第一个五年计划,人民出版社　辑译,人民出版社,-526118400000
1456,B_1953_000059,马克思列宁主义与民族殖民地问题,康士坦丁诺夫　著,人民出版社,-510220800000
1288,B_1953_000063,金日成将军传略,,人民出版社,-531388800000
1245,B_1953_000069,印度共产党纲领,人民出版社　编辑,人民出版社,-533808000000
1449,B_1953_000074,辩证唯物主义,[苏]罗森塔尔　著,人民出版社,-510220800000
1375,B_1953_000083,怎样讲授“联共（布）党史简明教程”,白连金　等著,人民出版社,-526118400000
1312,B_1953_000087,论苏联共产党党章,人民出版社　编,人民出版社,-531388800000
1343,B_1953_000125,蒙古人民革命三十年,锡林迪布　等著,人民出版社,-526118400000
1407,B_1953_000198,论苏联社会主义经济建设  高级组  第一册,,人民出版社,-523440000000
1390,B_1953_000208,苏联第一个五年经济建设计划,苏联国家计划委员会主席团　公布,人民出版社,-523440000000
1296,B_1953_000227,布尔什维主义的土地纲领,[苏]柳波什茨(Л.И.Любошиц)　著,人民出版社,-531388800000
1262,B_1953_000257,意大利共产党简史,,人民出版社,-531388800000
1399,B_1953_000258,德国问题文件汇编,人民出版社　编辑,人民出版社,-512899200000
1389,B_1953_000293,学习“苏联社会主义经济问题”参考资料（第四辑）,尤金　等著,人民出版社,-518169600000
1351,B_1953_000318,学习“苏联社会主义经济问题”参考资料（第三辑）,谢尔格叶娃　谢金　等著,人民出版社,-520848000000
1246,B_1953_000377,德意志民主共和国在重建中,来比锡大学地理研究组　编,人民出版社,-533808000000
1391,B_1953_000382,苏联选举法令汇编,中央人民政府法制委员会编译室　编译,人民出版社,-520848000000
1257,B_1953_000420,学习“苏联社会主义经济问题”参考资料（第一辑）,契斯诺科夫　等著,人民出版社,-536486400000
356,B_1953_000437,起来吧，英国！——英国共产党总书记波立特在英国共产党第二十二次代表大会上的政治报告,,世界知识社,-536486400000
355,B_1953_000440,澳大利亚走向社会主义的道路,,世界知识社,-526118400000
1227,B_1953_000456,苏联社会主义经济问题,斯大林,人民出版社,-528710400000
1311,B_1953_000464,马克思列宁主义的革命理论,加克　著,人民出版社,-528710400000
1004Q554,B_1953_000480,马克思列宁主义哲学问题论文集,米丁　等著,生活·读书·新知三联出版社,-512899200000
1018Q568,B_1953_000486,论共产主义道德,柯尔巴诺夫斯基　著,生活·读书·新知三联出版社,-526118400000
1042Q592,B_1953_000488,共产主义道德与宗教道德,科洛尼茨基　著,生活·读书·新知三联出版社,-512899200000
1248,B_1953_000490,在联共（布）第十九次代表大会的发言,布尔加宁,人民出版社,-536486400000
1251,B_1953_000491,在联共（布）第十九次代表大会上的闭幕词,莫洛托夫,人民出版社,-536486400000
1255,B_1953_000492,在联共（布）第十九次代表大会上的发言,米高扬　著,人民出版社,-536486400000
1274,B_1953_000493,学习“苏联社会主义经济问题”参考资料（第二辑）,康士坦丁诺夫　等著,人民出版社,-536486400000
1472,B_1953_000494,人民群众和个人在历史上的作用,康士坦丁诺夫　著,人民出版社,-507628800000
0322,B_1953_000497,加拿大共产主义运动三十年（1922－1952）,蒂姆·布克　著,世界知识社,-510220800000
1043Q593,B_1953_000499,社会主义企业的货币结算,鲁滨斯金　著,生活·读书·新知三联书店,-507628800000
1407,B_1953_000510,论苏联社会主义经济建设　第一册　中级组,,人民出版社,-523440000000
1407,B_1953_000513,论苏联社会主义经济建设　中级组　第一册,,人民出版社,-523440000000
1585,B_1954_000086,狱中书信集,季米特洛夫　著,人民出版社,-489312000000
1697,B_1954_000093,共产国际,[苏]波诺马勒夫　著,人民出版社,-481363200000
1694,B_1954_000094,第一国际,[苏]巴赫　著,人民出版社,-478684800000
1696,B_1954_000096,第二国际·第二半国际,[苏]加尔金　著,人民出版社,-483955200000
1653,B_1954_000293,农业集体化,[苏]科托夫　著,人民出版社,-483955200000
