isbn,bookid,bookname,author,publish,releaseDate
978-7-01-009506-6,B_01009506_002,谭其骧全集 （第二卷）,谭其骧　著,人民出版社,1435680000000
978-7-01-009522-6,B_01009522_001,《史通》与先唐典籍,马铁浩　著,人民出版社,1291132800000
978-7-01-009524-0,B_01009524_001,隋唐民族关系思想史,崔明德　等著,人民出版社,1291132800000
978-7-01-009531-8,B_01009531_001,斯大林模式的形成,徐天新　著,人民出版社,1377964800000
978-7-01-009537-0,B_01009537_001,三国史,何兹全 著,人民出版社,1298908800000
978-7-01-009539-4,B_01009539_001,宋代两湖地区民间强势力量与地域秩序,廖寅　著,人民出版社,1301587200000
978-7-01-009559-2,B_01009559_001,越地经济文化论,刘孟达　章融  著,人民出版社,1301587200000
978-7-01-009569-1,B_01009569_001,亚历山大一世,[俄罗斯]亚.阿尔汉格尔斯基　著,人民出版社,1296489600000
978-7-01-009570-7,B_01009570_001,路易十四,[英]安东尼·列维　著,人民出版社,1296489600000
978-7-01-009572-1,B_01009572_001,新中国法律思想史,陈金全　主编,人民出版社,1314806400000
978-7-01-009592-9,B_01009592_001,为毛泽东做眼科手术的医生——唐由之,卢春宁　著,人民出版社,1293811200000
978-7-01-009598-1,B_01009598_001,西藏知识问题解答,王晨　董云虎　主编　国务院新闻办公室　编,人民出版社,1298908800000
978-7-01-009608-7,B_01009608_001,瞿秋白传,王铁仙　刘福勤　主编,人民出版社,1306857600000
978-7-01-009614-8,B_01009614_001,社会主义通史　第七卷,王伟光　主编,人民出版社,1301587200000
978-7-01-009615-5,B_01009615_001,基础教育课程史论,张建文　主编,人民出版社,1301587200000
978-7-01-009623-0,B_01009623_001,王世英,段建国等　著,人民出版社,1296489600000
978-7-01-009631-5,B_01009631_001,《郁离子》寓言新说,何向荣　编,人民出版社,1306857600000
978-7-01-009640-7,B_01009640_001,武士的悲哀：北宋崇文抑武现象透析,陈峰　著,人民出版社,1304179200000
978-7-01-009653-7,B_01009653_001,荷湖村志,俞日霞　俞婉君　著,人民出版社,1304179200000
978-7-01-009662-9,B_01009662_001,毛泽东与姓名艺术,吴海坤　编著,人民出版社,1296489600000
978-7-01-009668-1,B_01009668_001,先秦秦汉德治法治关系思想研究,关健英　著,人民出版社,1301587200000
978-7-01-009686-5,B_01009686_001,出土战国文献虚词研究,张玉金　著,人民出版社,1298908800000
978-7-01-009688-9,B_01009688_001,楚辞与简帛文献,黄靈庚　著,人民出版社,1298908800000
978-7-01-009689-6,B_01009689_001,中国经学与宋明理学研究（上）,蔡方鹿　著,人民出版社,1298908800000
978-7-01-009689-6,B_01009689_002,中国经学与宋明理学研究（下）,蔡方鹿　著,人民出版社,1298908800000
978-7-01-009700-8,B_01009700_001,世纪情怀：张学良全传（上）,王海晨　胡玉海　著,人民出版社,1298908800000
978-7-01-009700-8,B_01009700_002,世纪情怀：张学良全传（下）,王海晨　胡玉海　著,人民出版社,1298908800000
978-7-01-009713-8,B_01009713_001,清末民初旗民生存状态研究,戴迎华　著,人民出版社,1291132800000
978-7-01-009717-6,B_01009717_001,宗教改革与德国近代化的道路,朱孝远　著,人民出版社,1298908800000
978-7-01-009718-3,B_01009718_001,文人结社与明代文学的演进（上）,何宗美　著,人民出版社,1298908800000
978-7-01-009718-3,B_01009718_002,文人结社与明代文学的演进（下）,何宗美　著,人民出版社,1298908800000
978-7-01-009726-8,B_01009726_001,美援为何无效？——战时中国经济危机与中美应对之策,杨雨青　著,人民出版社,1301587200000
978-7-01-009727-5,B_01009727_001,近代中国科学社团研究,范铁权　著,人民出版社,1301587200000
978-7-01-009734-3,B_01009734_001,上海歹土：战时恐怖活动与城市犯罪：1937~1941,（美）魏斐德（Ｗａｋｅｍａｎ Ｊｒ，Ｆ． Ｅ． ）　著,人民出版社,1304179200000
978-7-01-009736-7,B_01009736_001,红星照耀上海城：1942~1952,（美）魏斐德（Ｗａｋｅｍａｎ Ｊｒ，Ｆ． Ｅ． ）　著,人民出版社,1304179200000
978-7-01-009738-1,B_01009738_001,上海警察：1927~1937,（美）魏斐德（Ｗａｋｅｍａｎ Ｊｒ，Ｆ． Ｅ． ）　著,人民出版社,1304179200000
978-7-01-009742-8,B_01009742_001,苦痛的记忆——中条山战役难民口述历史实录,杨圣清  主编,人民出版社,1304179200000
978-7-01-009743-5,B_01009743_001,英国中世纪晚期乡村共同体研究,王玉亮　著,人民出版社,1304179200000
978-7-01-009750-3,B_01009750_001,赫鲁晓夫下台内幕,[俄]谢·赫鲁晓夫　著,人民出版社,1320076800000
978-7-01-009758-9,B_01009758_001,徐锡麟评传,谢一彪　著,人民出版社,1309449600000
978-7-01-009769-5,B_01009769_001,鸦片战争中的中英船炮比较研究,张建雄　刘鸿亮　著,人民出版社,1301587200000
978-7-01-009782-4,B_01009782_001,私家相册里的红色传奇,余玮　著,人民出版社,1306857600000
978-7-01-009792-3,B_01009792_001,中国古代散文思想史——文化生态与中国古代散文思想的嬗变,马茂军　刘春霞　等著,人民出版社,1306857600000
978-7-01-009806-7,B_01009806_001,朱光潜传,王攸欣　著,人民出版社,1314806400000
978-7-01-009809-8,B_01009809_001,中华帝制的精神源头——秦思想的发展历程,田延峰　著,人民出版社,1304179200000
978-7-01-009813-5,B_01009813_001,宋代士人阶层女性研究,铁爱花　著,人民出版社,1312128000000
978-7-01-009856-2,B_01009856_001,中国书法艺术通论,孔见　著,人民出版社,1317398400000
978-7-01-009862-3,B_01009862_001,《礼记》语言学与文化学阐释,杨雅丽　著,人民出版社,1306857600000
978-7-01-009867-8,B_01009867_001,亲历川藏线,高平　著,人民出版社,1304179200000
978-7-01-009869-2,B_01009869_001,一方水土养育一方文明——非洲文明之路,郑家馨　著,人民出版社,1317398400000
978-7-01-009871-5,B_01009871_001,三江流域少数民族农村社区变迁研究,俞茹　著,人民出版社,1314806400000
978-7-01-009872-2,B_01009872_001,神与人——南亚文明之路,王红生　著,人民出版社,1317398400000
978-7-01-009873-9,B_01009873_001,中国共产党延安时期政治社会文化史论,梁星亮　杨洪　主编,人民出版社,1306857600000
978-7-01-009874-6,B_01009874_001,晚清厘金与中国早期现代化建设,杨华山　著,人民出版社,1320076800000
978-7-01-009876-0,B_01009876_001,抗日山——一个民族的魂魄,王成章　著,人民出版社,1306857600000
978-7-01-009877-7,B_01009877_001,唐宋社会变革论纲,林文勋　著,人民出版社,1309449600000
978-7-01-009879-1,B_01009879_001,明代云南民族发展论纲,段红云　著,人民出版社,1314806400000
978-7-01-009896-8,B_01009896_001,多元 交汇 共生——东南亚文明之路,梁志明 李谋 吴杰伟　著,人民出版社,1317398400000
978-7-01-009910-1,B_01009910_001,文化视角下的元杂剧,徐雪辉　著,人民出版社,1309449600000
978-7-01-009914-9,B_01009914_001,民主思想家———杜威,郑国玉　著,人民出版社,1306857600000
978-7-01-009915-6,B_01009915_001,清代骈文理论研究,吕双伟　著,人民出版社,1312128000000
978-7-01-009918-7,B_01009918_001,动荡变换　成就斐然——西欧文明之路,王晋新　王邵励　孙义飞　著,人民出版社,1317398400000
978-7-01-009919-4,B_01009919_001,多元和冲突——俄罗斯中东欧文明之路,刘祖熙　主编,人民出版社,1317398400000
978-7-01-009920-0,B_01009920_001,冲突与融合——拉丁美洲文明之路,董经胜　林被甸　著,人民出版社,1317398400000
978-7-01-009923-1,B_01009923_001,辽夏金元体育文化史,王俊奇　著,人民出版社,1309449600000
978-7-01-009928-6,B_01009928_001,高长虹年谱,廖久明　著,人民出版社,1312128000000
978-7-01-009935-4,B_01009935_001,红色家书背后的故事,中国人民大学家书文化研究中心　编著,人民出版社,1306857600000
978-7-01-009937-8,B_01009937_001,现代国际关系史：世界体系的视阈,曹胜强　著,人民出版社,1312128000000
978-7-01-009946-0,B_01009946_001,宋元时期藏族地区经济研究,杨惠玲　著,人民出版社,1322668800000
978-7-01-009953-8,B_01009953_001,姚广孝史事研究,郑永华　著,人民出版社,1309449600000
978-7-01-009956-9,B_01009956_001,杨雄与《太玄》研究,刘韶军　著,人民出版社,1312128000000
978-7-01-009961-3,B_01009961_001,清代《诗经》学研究,何海燕　著,人民出版社,1306857600000
978-7-01-009964-4,B_01009964_001,美国文明三部曲：“制度”创设—经济“合理”—社会“平等”,何顺果　著,人民出版社,1317398400000
978-7-01-009965-1,B_01009965_001,移植与本土化：大洋洲文明之路,王宇博　著,人民出版社,1317398400000
978-7-01-009968-2,B_01009968_001,东风与西化：东北亚文明之路,王元周　编著,人民出版社,1317398400000
978-7-01-009977-4,B_01009977_001,县令·幕僚·学者·遗老,张立胜　著,人民出版社,1312128000000
978-7-01-009979-8,B_01009979_001,郭沫若研究年鉴（2010卷）,《郭沫若研究年鉴》编委会　编,人民出版社,1314806400000
978-7-01-009980-4,B_01009980_001,民族问题概论,吴仕民　主编　王平　副主编,人民出版社,1309449600000
978-7-01-009983-5,B_01009983_001,中外文化交流史,王介南　著,人民出版社,1306857600000
978-7-01-009984-2,B_01009984_001,刘基故里楹联评注,徐世槐　评注,人民出版社,1309449600000
978-7-01-009990-3,B_01009990_001,余秋里回忆录上册（上册）,余秋里　著,人民出版社,1309449600000
978-7-01-009990-3,B_01009990_002,余秋里回忆录上册（下册）,余秋里　著,人民出版社,1309449600000
978-7-01-009992-7,B_01009992_001,左宗棠在甘肃,马啸　著,人民出版社,1309449600000
978-7-01-009998-9,B_01009998_001,唐宋文学创作与观念嬗变考论,单　芳　著,人民出版社,1317398400000
978-7-01-010002-9,B_01010002_001,英国政治制度史,阎照祥　著,人民出版社,1325347200000
978-7-01-010009-8,B_01010009_001,刘基研究资料汇编,俞美玉　编,人民出版社,1309449600000
978-7-01-010011-1,B_01010011_001,结构与行动——西双版纳傣泐家庭婚姻的社会性别分析,章立明　著,人民出版社,1309449600000
978-7-01-010013-5,B_01010013_001,刘基评说,陈守文　等编著,人民出版社,1309449600000
978-7-01-010014-2,B_01010014_001,礼治之道——汉代名教研究,张造群　著,人民出版社,1309449600000
978-7-01-010019-7,B_01010019_001,刘基文化现代价值研究,俞美玉　著,人民出版社,1306857600000
978-7-01-010037-1,B_01010037_001,营造法式（修订本）,[宋]李诫　撰,人民出版社,1317398400000
978-7-01-010039-5,B_01010039_001,刘熙载书学研究,杨宝林　著,人民出版社,1314806400000
978-7-01-010049-4,B_01010049_001,中华人文精神论纲,吴毅　朱世广　刘治立　著,人民出版社,1317398400000
978-7-01-010050-0,B_01010050_001,社会女性观与中国女子高等教育,杜学元　著,人民出版社,1312128000000
978-7-01-010052-4,B_01010052_001,浮世绘艺术与明清版画的渊源研究,高云龙　著,人民出版社,1312128000000
978-7-01-010077-7,B_01010077_001,陶玉玲画传,冯国荣 著,人民出版社,1312128000000
978-7-01-010078-4,B_01010078_001,伍绍祖文集——社会交往卷,伍绍祖　著,人民出版社,1312128000000
978-7-01-010080-7,B_01010080_001,司法制度的历史样态与现代图景,冯军　丁建军　著,人民出版社,1317398400000
978-7-01-010087-6,B_01010087_001,百年记忆：民谣里的中国,田涛　著,人民出版社,1309449600000
978-7-01-010103-3,B_01010103_001,印度弱势群体：教育与政策,杨洪　著,人民出版社,1314806400000
978-7-01-010119-4,B_01010119_001,中国古代神话文化寻踪,闫德亮　著,人民出版社,1317398400000
978-7-01-010129-3,B_01010129_001,伯希和西域探险记,[法]伯希和　等著,人民出版社,1317398400000
978-7-01-010133-0,B_01010133_001,亲历晚清四十五年：李提摩太在华回忆录,[英]李提摩太　著,人民出版社,1312128000000
978-7-01-010146-0,B_01010146_001,居住的诗篇——论唐诗中的洛阳城市建筑景观,陈燕妮　著,人民出版社,1314806400000
978-7-01-010161-3,B_01010161_001,贞元京城文学群落研究,方丽萍　著,人民出版社,1314806400000
978-7-01-010171-2,B_01010171_001,民国医事纠纷研究：１９２７ ～１９４９,龙　伟　著,人民出版社,1314806400000
978-7-01-010173-6,B_01010173_001,德国与欧洲一体化,张才圣　著,人民出版社,1314806400000
978-7-01-010177-4,B_01010177_001,兴衰之路：民族问题视域下的苏联民族国家建设研究,张祥云　著,人民出版社,1312128000000
978-7-01-010205-4,B_01010205_001,“日本视角”与中国现代文学研究———以竹内好、伊藤虎丸、木山英雄为中心,刘　伟　著,人民出版社,1314806400000
978-7-01-010209-2,B_01010209_001,《甲寅》月刊与中国新文学的发生,赵亚宏　著,人民出版社,1312128000000
978-7-01-010210-8,B_01010210_001,中国对外经济关系史教程,丁长清　主编,人民出版社,1314806400000
978-7-01-010212-2,B_01010212_001,瓯越语语汇研究,盛爱萍　著,人民出版社,1317398400000
978-7-01-010217-7,B_01010217_001,从淮夷族群到编户齐民：周代淮水流域族群冲突的地理学观察,朱继平　著,人民出版社,1317398400000
978-7-01-010223-8,B_01010223_001,朱载堉：明代的科学和艺术巨星,戴念祖　著,人民出版社,1317398400000
978-7-01-010224-5,B_01010224_001,近代宁夏开发思想及实践研究,张天政　著,人民出版社,1314806400000
978-7-01-010230-6,B_01010230_001,中国民族学人类学社会学史(1900—1949),孟航　著,人民出版社,1312128000000
978-7-01-010234-4,B_01010234_001,一统与制宜：明朝藏区施政研究,邓前程　著,人民出版社,1322668800000
978-7-01-010236-8,B_01010236_001,中国设计艺术史论,李立新　著,人民出版社,1317398400000
978-7-01-010259-7,B_01010259_001,南宋法制史,戴建国　郭东旭　著,人民出版社,1322668800000
978-7-01-010260-3,B_01010260_001,史念海全集（第一卷）,史念海　著,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_002,史念海全集（第二卷）  ,史念海　著,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_003,史念海全集（第三卷）,史念海　著,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_004,史念海全集（第四卷） ,史念海　著 ,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_005,史念海全集（第五卷）,史念海　著,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_006,史念海全集（第六卷）,史念海　著 ,人民出版社,1364745600000
978-7-01-010260-3,B_01010260_007,史念海全集（第七卷） ,史念海　著 ,人民出版社,1364745600000
978-7-01-010273-3,B_01010273_001,台湾通史,连横　著,人民出版社,1317398400000
978-7-01-010295-5,B_01010295_001,铁路与华北乡村社会变迁１８８０—１９３７,熊亚平　著,人民出版社,1314806400000
978-7-01-010307-5,B_01010307_001,比较视野下中国现代化问题研究,马占稳　著,人民出版社,1314806400000
978-7-01-010314-3,B_01010314_001,百家录话：怎样过好春节,国务院参事室　中央文史研究馆　编,人民出版社,1317398400000
978-7-01-010323-5,B_01010323_001,美国生态女性主义批评理论与实践研究,吴琳　著,人民出版社,1314806400000
978-7-01-010331-0,B_01010331_001,察间至酷的王朝——清代反间谍制度研究,崔永生　著,人民出版社,1359648000000
978-7-01-010353-2,B_01010353_001,非物质文化遗产与历史变迁中的地方社会———以歌谣为中心的解读,马莉　著,人民出版社,1304179200000
978-7-01-010357-0,B_01010357_001,舞台上的活动雕塑,卫君翔　著,人民出版社,1320076800000
978-7-01-010368-6,B_01010368_001,古代开封犹太人：中文文献辑要与研究,李景文等　校编,人民出版社,1320076800000
978-7-01-010376-1,B_01010376_001,陇右方言词语疏证,安忠义　著,人民出版社,1320076800000
978-7-01-010380-8,B_01010380_001,清代中央政府治藏法律制度演变研究,王东春　著,人民出版社,1322668800000
978-7-01-010394-5,B_01010394_001,拉祜族双语教学研究,盖兴之　刘劲荣　等著,人民出版社,1322668800000
978-7-01-010396-9,B_01010396_001,徽州宗族论集,赵华富　著,人民出版社,1320076800000
978-7-01-010397-6,B_01010397_001,明人明事———浙南明代区域文化研究,曹凌云　主编,人民出版社,1328025600000
978-7-01-010406-5,B_01010406_001,钱学森传,中国人民解放军总装备部政治部　组织撰写,人民出版社,1322668800000
978-7-01-010417-1,B_01010417_001,晚清电报建设与社会变迁：以有线电报为考察中心,夏维奇　著,人民出版社,1351699200000
978-7-01-010433-1,B_01010433_001,陈维崧年谱 上,周绚隆　著,人民出版社,1333209600000
978-7-01-010433-1,B_01010433_002,陈维崧年谱 下,周绚隆　著,人民出版社,1333209600000
978-7-01-010441-6,B_01010441_001,陈仪全传,严如平　贺渊　著,人民出版社,1322668800000
978-7-01-010444-7,B_01010444_001,德国统一现状,［德］米夏埃尔·于尔格斯　著,人民出版社,1330531200000
978-7-01-010456-0,B_01010456_001,恽代英思想研究,李良明　等著,人民出版社,1322668800000
978-7-01-010472-0,B_01010472_001,18世纪俄国的改革与贵族,张宗华　著,人民出版社,1372608000000
978-7-01-010477-5,B_01010477_001,叶圣陶家族的文脉传奇,叶炜　著,人民出版社,1322668800000
978-7-01-010478-2,B_01010478_001,敦煌南朝写本书法研究,王菡薇 陶小军　著,人民出版社,1322668800000
978-7-01-010484-3,B_01010484_001,民国时期皖南永佃制实证研究,张明　著,人民出版社,1349020800000
978-7-01-010488-1,B_01010488_001,中国五四时期自由主义,张胜利　著,人民出版社,1322668800000
978-7-01-010496-6,B_01010496_001,陆游与鉴湖,中国陆游研究会　编,人民出版社,1322668800000
978-7-01-010529-1,B_01010529_001,中琉历史关係档案(乾隆朝十七),中国第一历史档案馆 编,人民出版社,1330531200000
978-7-01-010529-1,B_01010529_002,中琉历史关係档案（嘉庆朝一）,中国第一历史档案馆　编,人民出版社,1330531200000
978-7-01-010529-1,B_01010529_003,中琉历史关係档案（嘉庆朝二）,中国第一历史档案馆　编,人民出版社,1330531200000
978-7-01-010558-1,B_01010558_001,中国赋论史,何新文　苏瑞隆　彭安湘　著,人民出版社,1333209600000
978-7-01-010562-8,B_01010562_001,清代—民国西宁社会生活史,李健胜　著,人民出版社,1328025600000
978-7-01-010574-1,B_01010574_001,西方公民学说史,秦树理　陈思坤　王晶　著,人民出版社,1346428800000
978-7-01-010580-2,B_01010580_001,亲历延安岁月：延安电影团摄影纪实,刘妮　主编,人民出版社,1325347200000
978-7-01-010588-8,B_01010588_001,中国人看泰戈尔,佟加蒙　编,人民出版社,1330531200000
978-7-01-010594-9,B_01010594_001,中国人口通史·元代卷,袁祖亮　主编　李莎　著,人民出版社,1343750400000
978-7-01-010595-6,B_01010595_001,中国人口通史·秦西汉卷（第3册）,袁祖亮　主编,人民出版社,1335801600000
978-7-01-010596-3,B_01010596_001,明清考史录,南炳文　著,人民出版社,1362067200000
978-7-01-010599-4,B_01010599_001,无冕元帅,张雄文　著,人民出版社,1325347200000
978-7-01-010659-5,B_01010659_001,楚辞与朝鲜古代文学之关联研究,郑日男　著,人民出版社,1333209600000
978-7-01-010660-1,B_01010660_001,中国朝鲜族新闻传媒与和谐社会建设,李逢雨　著,人民出版社,1333209600000
978-7-01-010661-8,B_01010661_001,北京著述史,赵雅丽　主编,人民出版社,1341072000000
978-7-01-010665-6,B_01010665_001,国民党与共产国际（1919-1927）,李玉贞　著,人民出版社,1335801600000
978-7-01-010666-3,B_01010666_001,中国朝鲜语规范原则与规范细则研究,金永寿　著,人民出版社,1333209600000
978-7-01-010667-0,B_01010667_001,北宋开封气象编年史,程民生　著,人民出版社,1333209600000
978-7-01-010688-5,B_01010688_001,中国近现代文学的发展与无政府主义思潮,张全之　著,人民出版社,1362067200000
978-7-01-010696-0,B_01010696_001,雷锋画传,中共辽宁省委宣传部、中共抚顺市委、抚顺雷锋纪念馆　编,人民出版社,1330531200000
978-7-01-010699-1,B_01010699_001,秦汉时期士人犯罪研究,吕红梅　著,人民出版社,1335801600000
978-7-01-010704-2,B_01010704_001,丘特切夫诗歌研究,曾思艺　著,人民出版社,1330531200000
978-7-01-010722-6,B_01010722_001,邓小平南方谈话真情实录——记录人的记述,吴松营　著,人民出版社,1325347200000
978-7-01-010729-5,B_01010729_001,精神家园的诗学探寻——苏轼“和陶诗”与陶渊明诗歌之比较研究,杨松冀　著,人民出版社,1333209600000
978-7-01-010741-7,B_01010741_001,战国百家争鸣与中华传统体育精神构架,王京龙　著,人民出版社,1341072000000
978-7-01-010754-7,B_01010754_001,中国近代经济史(1927-1937) 上册,刘克祥 吴太昌　著,人民出版社,1333209600000
978-7-01-010754-7,B_01010754_002,中国近代经济史(1927-1937) 中册,刘克祥 吴太昌　著,人民出版社,1333209600000
978-7-01-010754-7,B_01010754_003,中国近代经济史(1927-1937)下册,刘克祥　吴太昌　主编,人民出版社,1333209600000
978-7-01-010755-4,B_01010755_001,中国近代经济史(1895-1927)(上册),汪敬虞　主编,人民出版社,1333209600000
978-7-01-010755-4,B_01010755_002,中国近代经济史(1895-1927)(中册),汪敬虞　主编,人民出版社,1333209600000
978-7-01-010755-4,B_01010755_003,中国近代经济史（1895-1927）（下册）,汪敬虞　主编,人民出版社,1333209600000
978-7-01-010756-1,B_01010756_001,中国近代经济史（1840-1894）（上册）,严中平　主编,人民出版社,1333209600000
978-7-01-010756-1,B_01010756_002,中国近代经济史（1840-1894）（下册）,严中平　主编,人民出版社,1333209600000
978-7-01-010766-0,B_01010766_001,黄世仲革命生涯和小说生涯考论(上),颜廷亮　著,人民出版社,1333209600000
978-7-01-010766-0,B_01010766_002,黄世仲革命生涯和小说生涯考论(下),颜廷亮　著,人民出版社,1333209600000
978-7-01-010767-7,B_01010767_001,明清徽州典商研究,王裕明　著,人民出版社,1346428800000
978-7-01-010774-5,B_01010774_001,清代前期民间商业信用问题研究,谢秀丽　韩瑞军　著,人民出版社,1341072000000
978-7-01-010786-8,B_01010786_001,周公研究,吕庙军　著,人民出版社,1343750400000
978-7-01-010789-9,B_01010789_001,林书豪“疯狂”NBA,[美]Danny Lee(艾野)　著,人民出版社,1333209600000
978-7-01-010791-2,B_01010791_001,民族认同与国家认同,张宝成　著,人民出版社,1335801600000
978-7-01-010793-6,B_01010793_001,历史主义与现代价值危机,宋友文　著,人民出版社,1338480000000
978-7-01-010794-3,B_01010794_001,古典戏曲脚色新考,元鹏飞　著,人民出版社,1335801600000
978-7-01-010798-1,B_01010798_001,首钢简史———日本侵华时期的石景山制铁所,王海澜　著,人民出版社,1338480000000
978-7-01-010802-5,B_01010802_001,近代河北乡村天主教会研究,李晓晨　著,人民出版社,1346428800000
978-7-01-010805-6,B_01010805_001,华文学院研究,徐书墨　著,人民出版社,1341072000000
978-7-01-010808-7,B_01010808_001,洮岷花儿与西北民族民俗文化研究,何杨　武文　著,人民出版社,1341072000000
978-7-01-010809-4,B_01010809_001,甘肃傩文化研究,胡颖　蒲向明　等著,人民出版社,1341072000000
978-7-01-010810-0,B_01010810_001,唐代涉医文学与医药文化,郭树芹　著,人民出版社,1341072000000
978-7-01-010811-7,B_01010811_001,溥仪的后半生,王庆祥　著,人民出版社,1343750400000
978-7-01-010817-9,B_01010817_001,词调史研究,田玉琪　著,人民出版社,1351699200000
978-7-01-010818-6,B_01010818_001,新中国历史学发展路径研究,张剑平　等著,人民出版社,1338480000000
978-7-01-010820-9,B_01010820_001,近代青海民间商贸与社会经济扩展研究,勉卫忠　著,人民出版社,1330531200000
978-7-01-010822-3,B_01010822_001,历史、社会与文学———牛李党争研究的新视野,李润强　著,人民出版社,1338480000000
978-7-01-010830-8,B_01010830_001,民族文化交融与元杂剧研究,云峰　著,人民出版社,1335801600000
978-7-01-010836-0,B_01010836_001,“第三种选择”：冷战期间美国对外隐蔽行动战略研究,白建才　著,人民出版社,1343750400000
978-7-01-010851-3,B_01010851_001,西南少数民族原始文字的产生与发展,邓章应　著,人民出版社,1335801600000
978-7-01-010878-0,B_01010878_001,河西宝卷与敦煌文学研究,庆振轩　主编,人民出版社,1341072000000
978-7-01-010879-7,B_01010879_001,周密研究,刘静　著,人民出版社,1343750400000
978-7-01-010881-0,B_01010881_001,激流风帆———从农家女到副省长,包玉兰　著,人民出版社,1335801600000
978-7-01-010886-5,B_01010886_001,民胞物与：中国近代义赈（1876-1912）,朱浒　著,人民出版社,1338480000000
978-7-01-010889-6,B_01010889_001,丝路文化与五凉文学研究,庆振轩　主编,人民出版社,1341072000000
978-7-01-010897-1,B_01010897_001,拒绝屈服——武四海的人生之路,刘剑　著,人民出版社,1341072000000
978-7-01-010904-6,B_01010904_001,晋朝法制研究,李俊芳　著,人民出版社,1341072000000
978-7-01-010905-3,B_01010905_001,印象主义音乐的先声——李斯特晚期钢琴代表作品研究,郑艳　著,人民出版社,1351699200000
978-7-01-010908-4,B_01010908_001,中国反贪史 上册,王春瑜　主编,人民出版社,1359648000000
978-7-01-010908-4,B_01010908_002,中国反贪史 中册,王春瑜　主编,人民出版社,1359648000000
978-7-01-010908-4,B_01010908_003,中国反贪史 下册,王春瑜　主编,人民出版社,1359648000000
978-7-01-010914-5,B_01010914_001,中国传统司法思想史论,崔永东　著,人民出版社,1338480000000
978-7-01-010917-6,B_01010917_001,宋代书院与欧洲中世纪大学之比较研究,刘河燕　著,人民出版社,1354291200000
978-7-01-010921-3,B_01010921_001,“类解”类文献中的汉－朝词汇研究,金哲俊　著,人民出版社,1338480000000
978-7-01-010926-8,B_01010926_001,文心雕龙通论（上编）,刘业超　著,人民出版社,1354291200000
978-7-01-010926-8,B_01010926_002,文心雕龙通论（中编）,刘业超　著,人民出版社,1354291200000
978-7-01-010926-8,B_01010926_003,文心雕龙通论（下编）,刘业超　著,人民出版社,1354291200000
978-7-01-010937-4,B_01010937_001,禅宗对邵雍重新定义太极思想的影响＝ The Influence of Chan Buddhism,明清　著,人民出版社,1383235200000
978-7-01-010938-1,B_01010938_001,全球史导论,张一平　著,人民出版社,1338480000000
978-7-01-010947-3,B_01010947_001,孔子新论,林存光　著,人民出版社,1341072000000
978-7-01-010948-0,B_01010948_001,《春秋》经传讲义,赵伯雄　著,人民出版社,1341072000000
978-7-01-010969-5,B_01010969_001,中国革命根据地票据研究：1927-1949,何伟福　著,人民出版社,1328025600000
978-7-01-010978-7,B_01010978_001,玻恩研究,厚宇德　著,人民出版社,1341072000000
978-7-01-010980-0,B_01010980_001,德宏傣族人生礼仪念词研究,刀承华　著,人民出版社,1335801600000
978-7-01-010981-7,B_01010981_001,白居易诗歌词汇研究,乔立智　著,人民出版社,1335801600000
978-7-01-010989-3,B_01010989_001,宋元戏曲本体论,陈建森　著,人民出版社,1346428800000
978-7-01-010996-1,B_01010996_001,百家录话：怎样过好春节·第2辑,国务院参事室,中央文史研究馆　编,人民出版社,1338480000000
798-7-01-011007-3,B_01011007_001,近现代国际关系史研究 第二辑,徐蓝　主编,人民出版社,1349020800000
978-7-01-011019-6,B_01011019_001,毛泽东评述诸子百家,邸延生　著,人民出版社,1356969600000
978-7-01-011034-9,B_01011034_001,清末民初修身思想研究：以修身教科书为中心的考察,王小静　著,人民出版社,1346428800000
978-7-01-011056-1,B_01011056_001,近代中国的收入分配：一个定量的研究,关永强　著,人民出版社,1349020800000
978-7-01-011057-8,B_01011057_001,宋代论书诗研究,蔡显良　著,人民出版社,1362067200000
978-7-01-011058-5,B_01011058_001,民国时期的童子军研究,孙玉芹　著,人民出版社,1370016000000
978-7-01-011079-0,B_01011079_001,近代华北日侨问题研究（1871—1946）,米卫娜　著,人民出版社,1354291200000
978-7-01-011080-6,B_01011080_001,清代高密派诗学研究,宫泉久　著,人民出版社,1351699200000
978-7-01-011084-4,B_01011084_001,《书集传》研究与校注,王春林　著,人民出版社,1346428800000
978-7-01-011091-2,B_01011091_001,宋代买扑制度研究,杨永兵　著,人民出版社,1354291200000
978-7-01-011093-6,B_01011093_001,战国至唐之河北风俗研究,顾乃武　著,人民出版社,1349020800000
978-7-01-011108-7,B_01011108_001,中国近代国防理论的奠基——蒋百里思想研究,吴仰湘　著,人民出版社,1351699200000
978-7-01-011113-1,B_01011113_001,刘向校书考论,邓骏捷　著,人民出版社,1343750400000
978-7-01-011116-2,B_01011116_001,琴棋书画,杨仲全　李晓鲁　王静怡　著,人民出版社,1346428800000
978-7-01-011121-6,B_01011121_001,郁达夫与王映霞,许凤才　著,人民出版社,1354291200000
978-7-01-011137-7,B_01011137_001,先秦文学发生研究,赵辉　著,人民出版社,1349020800000
